dataset,m,rep,classifier,accuracy
motivating,2,32,linear_svm,0.7
motivating,2,32,rbf_svm,0.7666666666666667
motivating,2,33,rf,0.7
motivating,2,33,1nn,0.7
motivating,2,33,linear_svm,0.6333333333333333
motivating,2,33,rbf_svm,0.7
motivating,2,34,rf,0.8333333333333334
motivating,2,34,1nn,0.7666666666666667
motivating,2,34,linear_svm,0.8333333333333334
motivating,2,34,rbf_svm,0.7666666666666667
motivating,2,35,rf,0.7333333333333333
motivating,2,35,1nn,0.8
motivating,2,35,linear_svm,0.7666666666666667
motivating,2,35,rbf_svm,0.7666666666666667
motivating,2,36,rf,0.8
motivating,2,36,1nn,0.8333333333333334
motivating,2,36,linear_svm,0.7
motivating,2,36,rbf_svm,0.7666666666666667
motivating,2,37,rf,0.6666666666666666
motivating,2,37,1nn,0.7666666666666667
motivating,2,37,linear_svm,0.6666666666666666
motivating,2,37,rbf_svm,0.7333333333333333
motivating,2,38,rf,0.6333333333333333
motivating,2,38,1nn,0.7666666666666667
motivating,2,38,linear_svm,0.7
motivating,2,38,rbf_svm,0.6
motivating,2,39,rf,0.8
motivating,2,39,1nn,0.7
motivating,2,39,linear_svm,0.7
motivating,2,39,rbf_svm,0.8
motivating,2,40,rf,0.8
motivating,2,40,1nn,0.6333333333333333
motivating,2,40,linear_svm,0.6333333333333333
motivating,2,40,rbf_svm,0.8
motivating,2,41,rf,0.7666666666666667
motivating,2,41,1nn,0.7666666666666667
motivating,2,41,linear_svm,0.7
motivating,2,41,rbf_svm,0.8
motivating,2,42,rf,0.7
motivating,2,42,1nn,0.7
motivating,2,42,linear_svm,0.8333333333333334
motivating,2,42,rbf_svm,0.7666666666666667
motivating,2,43,rf,0.8
motivating,2,43,1nn,0.7666666666666667
motivating,2,43,linear_svm,0.8
motivating,2,43,rbf_svm,0.8333333333333334
motivating,2,44,rf,0.7
motivating,2,44,1nn,0.8
motivating,2,44,linear_svm,0.7
motivating,2,44,rbf_svm,0.7666666666666667
motivating,2,45,rf,0.7
motivating,2,45,1nn,0.6
motivating,2,45,linear_svm,0.7
motivating,2,45,rbf_svm,0.7333333333333333
motivating,2,46,rf,0.7333333333333333
motivating,2,46,1nn,0.7333333333333333
motivating,2,46,linear_svm,0.7
motivating,2,46,rbf_svm,0.6666666666666666
motivating,2,47,rf,0.7666666666666667
motivating,2,47,1nn,0.7666666666666667
motivating,2,47,linear_svm,0.7333333333333333
motivating,2,47,rbf_svm,0.7333333333333333
motivating,2,48,rf,0.5
motivating,2,48,1nn,0.6333333333333333
motivating,2,48,linear_svm,0.6
motivating,2,48,rbf_svm,0.5666666666666667
motivating,2,49,rf,0.7333333333333333
motivating,2,49,1nn,0.8333333333333334
motivating,2,49,linear_svm,0.6333333333333333
motivating,2,49,rbf_svm,0.6333333333333333
motivating,5,0,rf,0.8666666666666667
motivating,5,0,1nn,0.7666666666666667
motivating,5,0,linear_svm,0.8333333333333334
motivating,5,0,rbf_svm,0.9
motivating,5,1,rf,0.9
motivating,5,1,1nn,0.7333333333333333
motivating,5,1,linear_svm,0.9
motivating,5,1,rbf_svm,0.9666666666666667
motivating,5,2,rf,0.8
motivating,5,2,1nn,0.8
motivating,5,2,linear_svm,0.9
motivating,5,2,rbf_svm,0.8333333333333334
motivating,5,3,rf,0.7666666666666667
motivating,5,3,1nn,0.6333333333333333
motivating,5,3,linear_svm,0.8
motivating,5,3,rbf_svm,0.8666666666666667
motivating,5,4,rf,0.7333333333333333
